strName,strDistrict,strState,chrStatus
690550,ALAPPUZHA,KERALA,N
690560,ALAPPUZHA,KERALA,N
690506,ALAPPUZHA,KERALA,N
690511,ALAPPUZHA,KERALA,N
690512,ALAPPUZHA,KERALA,N
690513,ALAPPUZHA,KERALA,N
690515,ALAPPUZHA,KERALA,N
690512,ALAPPUZHA,KERALA,N
690517,ALAPPUZHA,KERALA,N
690552,ALAPPUZHA,KERALA,N
690531,ALAPPUZHA,KERALA,N
690556,ALAPPUZHA,KERALA,N
690559,ALAPPUZHA,KERALA,N
690531,ALAPPUZHA,KERALA,N
690527,ALAPPUZHA,KERALA,N
690514,ALAPPUZHA,KERALA,N
690549,ALAPPUZHA,KERALA,N
690515,ALAPPUZHA,KERALA,N
690566,ALAPPUZHA,KERALA,N
690535,ALAPPUZHA,KERALA,N
690514,ALAPPUZHA,KERALA,N
689122,ALAPPUZHA,KERALA,N
689577,ALAPPUZHA,KERALA,N
689576,ALAPPUZHA,KERALA,N
688505,ALAPPUZHA,KERALA,N
688505,ALAPPUZHA,KERALA,N
689579,ALAPPUZHA,KERALA,N
688502,ALAPPUZHA,KERALA,N
688505,ALAPPUZHA,KERALA,N
688501,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688562,ALAPPUZHA,KERALA,N
686534,ALAPPUZHA,KERALA,N
686534,ALAPPUZHA,KERALA,N
688501,ALAPPUZHA,KERALA,N
688501,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
689571,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
688562,ALAPPUZHA,KERALA,N
688562,ALAPPUZHA,KERALA,N
689575,ALAPPUZHA,KERALA,N
688501,ALAPPUZHA,KERALA,N
688502,ALAPPUZHA,KERALA,N
688503,ALAPPUZHA,KERALA,N
688506,ALAPPUZHA,KERALA,N
688508,ALAPPUZHA,KERALA,N
686534,ALAPPUZHA,KERALA,N
689571,ALAPPUZHA,KERALA,N
688503,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
688505,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
688504,ALAPPUZHA,KERALA,N
689595,ALAPPUZHA,KERALA,N
688562,ALAPPUZHA,KERALA,N
689572,ALAPPUZHA,KERALA,N
689722,ALAPPUZHA,KERALA,N
688501,ALAPPUZHA,KERALA,N
689595,ALAPPUZHA,KERALA,N
689573,ALAPPUZHA,KERALA,N
686107,ALAPPUZHA,KERALA,N
689595,ALAPPUZHA,KERALA,N
686103,ALAPPUZHA,KERALA,N
686102,ALAPPUZHA,KERALA,N
689598,ALAPPUZHA,KERALA,N
689571,ALAPPUZHA,KERALA,N
689721,ALAPPUZHA,KERALA,N
689723,ALAPPUZHA,KERALA,N
689590,ALAPPUZHA,KERALA,N
